Id,fullname,address,birthday,cmnd,email,gender,maxcredit,password,phone,program,role,schoolId,schoolyear,status
20200044,STUDENT 20200044,   ,1999-02-08 00:00:00,123456789,student20200044@gmail.com,nu,8,$2b$12$5DubeIAVT/pvrzBidhGYKOngDrGB/MVgM7UGVoW6jBZBIqFswTi72,123456,  ,ROLE_STUDENT,KCNDMVTT,65,1
20200045,STUDENT 20200045,   ,1999-02-08 00:00:00,123456789,student20200045@gmail.com,nu,24,$2b$12$AyJtooCChkLIu2QwUsP7DeVHqXhWfjFOJN3LhHLdERFaCJnP7gjqK,123456,  ,ROLE_STUDENT,KCNDMVTT,65,1
20200047,STUDENT 20200047,   ,1999-02-08 00:00:00,123456789,student20200047@gmail.com,nam,8,$2b$12$RReY3QOtrOS/JvAKFwhPd.XbSbgzxnOObK67rXBKSZyUdRSKfmf6q,123456,  ,ROLE_STUDENT,KSPKT,65,1
20200048,STUDENT 20200048,   ,1999-02-08 00:00:00,123456789,student20200048@gmail.com,nu,8,$2b$12$4wcuIQk4Ezy7VxZ500wqbORp5wbgtzSqZfBFIxzSwEzftvd9myGtq,123456,  ,ROLE_STUDENT,KNN,65,1
20200049,STUDENT 20200049,   ,1999-02-08 00:00:00,123456789,student20200049@gmail.com,nam,14,$2b$12$trkGEuGnG.PrC8.z.wunEOVW743YgJoQ9DYbniBnUk8O6yDdmGaE2,123456,  ,ROLE_STUDENT,KDTVT,65,1
20200055,STUDENT 20200055,   ,1999-02-08 00:00:00,123456789,student20200055@gmail.com,nu,14,$2b$12$WxoaEnOFIruQPVekXRAKO.JAXJPW/mB4ia1LZJ4N4wQkAj3MnDKBq,123456,  ,ROLE_STUDENT,VVLKT,65,1
20200065,STUDENT 20200065,   ,1999-02-08 00:00:00,123456789,student20200065@gmail.com,nam,8,$2b$12$kPi0OJbT4Dq1ncMDCq2zcOolwC0takYuV5fuAL1MQS55lMU5R9bda,123456,  ,ROLE_STUDENT,VKHVCNNL,65,1
20200067,STUDENT 20200067,   ,1999-02-08 00:00:00,123456789,student20200067@gmail.com,nu,14,$2b$12$ycPvbDHoRxJ9w1ca4pyUWOwvIpx9uWUMFqjwEqv/rq0UElvMsgnfC,123456,  ,ROLE_STUDENT,KTTD,65,1
20200072,STUDENT 20200072,   ,1999-02-08 00:00:00,123456789,student20200072@gmail.com,nu,14,$2b$12$2jQpjtKp5HG3FwbyP3fxTujWvE2Tt9.UKbZUkRgyIHMXYobv1/j16,123456,  ,ROLE_STUDENT,VDTLT,65,1
20200081,STUDENT 20200081,   ,1999-02-08 00:00:00,123456789,student20200081@gmail.com,nam,18,$2b$12$oLcLCx2E/9H4BbtZloNvLOFVgjBPNf/9hEBr8ufZFfdaHozKvAB4m,123456,  ,ROLE_STUDENT,KNN,65,1
20200083,STUDENT 20200083,   ,1999-02-08 00:00:00,123456789,student20200083@gmail.com,nu,8,$2b$12$lcOB27zR5uRxtJsLWUqUcugwa4PyxPkTcVf3K/f9TW5NxaqQl013.,123456,  ,ROLE_STUDENT,KTTD,65,1
20200090,STUDENT 20200090,   ,1999-02-08 00:00:00,123456789,student20200090@gmail.com,nam,18,$2b$12$u4ry5N.HOiNqyo3xLfucpe38uk4NLzDXdXALbSKb9IXCVHl9hGoRG,123456,  ,ROLE_STUDENT,VMICA,65,1
20200093,STUDENT 20200093,   ,1999-02-08 00:00:00,123456789,student20200093@gmail.com,nam,24,$2b$12$xweVhtYZ/wnTLjxFvxsrHOwNvWduLklZdMK/ZVQd7f4tMmnfvfT5S,123456,  ,ROLE_STUDENT,VMICA,65,1
20200096,STUDENT 20200096,   ,1999-02-08 00:00:00,123456789,student20200096@gmail.com,nam,8,$2b$12$xcCKjI/rb3i71S8MCXIRx.XtwDdo2x8mjFRCM5kbvWCUxClyDbIcC,123456,  ,ROLE_STUDENT,KCK,65,1
20200097,STUDENT 20200097,   ,1999-02-08 00:00:00,123456789,student20200097@gmail.com,nu,24,$2b$12$PguCX56N4MfbyIp2gOhZl.qXDbgW4k99DLCBXnkjvVwUUhbPU506u,123456,  ,ROLE_STUDENT,KTTD,65,1
